timestamp,ip,mac,packet_rate,port_count,unique_ports,scan_score,label
2026-01-21 11:16:17,192.168.10.20,d0:39:fa:e8:c3:30,1.84,10,1,0,0
2026-01-21 11:16:17,192.168.10.1,e4:fd:45:45:f8:c1,0.18,1,0,0,0
2026-01-21 11:16:23,192.168.10.20,d0:39:fa:e8:c3:30,6.59,40,1,0,0
2026-01-21 11:16:23,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 11:16:29,192.168.10.20,d0:39:fa:e8:c3:30,2.31,14,1,0,0
2026-01-21 11:16:29,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 11:16:35,192.168.10.20,d0:39:fa:e8:c3:30,1.65,10,0,0,0
2026-01-21 11:16:42,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 11:16:42,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 11:16:48,192.168.10.20,d0:39:fa:e8:c3:30,1.61,10,1,0,0
2026-01-21 11:16:54,192.168.10.20,d0:39:fa:e8:c3:30,1.65,10,1,0,0
2026-01-21 11:17:00,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-21 11:17:00,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 11:17:06,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 11:17:06,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 11:17:12,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,0,0,0
2026-01-21 11:17:12,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 11:17:18,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 11:17:18,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 11:17:24,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 11:17:24,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 11:17:30,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 11:17:30,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 11:17:36,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-21 11:17:36,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 11:17:42,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,0,0,0
2026-01-21 11:17:42,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 11:17:48,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-21 11:17:48,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 11:17:54,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 11:17:54,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 11:18:01,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 11:18:01,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 11:18:07,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-21 11:18:07,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:31:56,192.168.10.20,d0:39:fa:e8:c3:30,0.36,2,0,0,0
2026-01-21 13:31:56,192.168.10.1,e4:fd:45:45:f8:c1,0.36,2,0,0,0
2026-01-21 13:32:02,192.168.10.20,d0:39:fa:e8:c3:30,0.82,5,0,0,0
2026-01-21 13:32:02,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:32:08,192.168.10.20,d0:39:fa:e8:c3:30,0.82,5,0,0,0
2026-01-21 13:32:08,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:32:15,192.168.10.20,d0:39:fa:e8:c3:30,2.81,17,0,0,0
2026-01-21 13:32:15,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:32:21,192.168.10.20,d0:39:fa:e8:c3:30,2.48,15,0,0,0
2026-01-21 13:32:27,192.168.10.20,d0:39:fa:e8:c3:30,1.96,12,0,0,0
2026-01-21 13:32:27,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:32:33,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,0,0,0
2026-01-21 13:32:33,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:32:39,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 13:32:39,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:32:45,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-21 13:32:45,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:32:51,192.168.10.20,d0:39:fa:e8:c3:30,1.48,9,0,0,0
2026-01-21 13:32:57,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
