timestamp,source_ip,service,username,password,command,raw_log
2026-01-22 00:43:21,unknown,Honeypot,,,,2026-01-21T18:25:08+0000 [-] Ready to accept SSH connections
2026-01-22 00:43:21,unknown,Honeypot,,,,2026-01-21T18:40:13+0000 [-] Ready to accept SSH connections
2026-01-22 00:43:21,unknown,SSH,,,,2026-01-21T18:54:59+0000 [cowrie.ssh.factory.CowrieSSHFactory] New connection: 172.17.0.1:36740 (172.17.0.4:2222) [session: 7e2e44068cfe]
2026-01-22 00:43:21,unknown,Honeypot,,,,2026-01-21T18:54:59+0000 [cowrie.ssh.transport.HoneyPotSSHTransport#info] connection lost
2026-01-22 00:43:21,unknown,SSH,,,,2026-01-21T18:55:09+0000 [cowrie.ssh.factory.CowrieSSHFactory] New connection: 172.17.0.1:33070 (172.17.0.4:2222) [session: 209dc3e7dedb]
2026-01-22 00:43:21,unknown,Honeypot,,,,2026-01-21T18:55:09+0000 [cowrie.ssh.transport.HoneyPotSSHTransport#info] connection lost
2026-01-22 00:43:21,unknown,SSH,,,,2026-01-21T18:56:26+0000 [cowrie.ssh.factory.CowrieSSHFactory] New connection: 172.17.0.1:34518 (172.17.0.4:2222) [session: 38910c46d359]
2026-01-22 00:43:21,172.17.0.1,Honeypot,"HoneyPotSSHTransport,2,172.17.0.1] login attempt [b'root'",b'admin',,"2026-01-21T18:56:31+0000 [HoneyPotSSHTransport,2,172.17.0.1] login attempt [b'root'/b'admin'] succeeded"
2026-01-22 00:43:21,unknown,Honeypot,,,,2026-01-21T18:56:31+0000 [cowrie.ssh.transport.HoneyPotSSHTransport#debug] starting service b'ssh-connection'
2026-01-22 00:43:21,unknown,SSH,,,,2026-01-21T18:56:31+0000 [cowrie.ssh.connection.CowrieSSHConnection#debug] got channel b'session' request
2026-01-22 00:43:21,unknown,SSH,,,,2026-01-21T18:56:31+0000 [cowrie.ssh.connection.CowrieSSHConnection#debug] got global b'no-more-sessions@openssh.com' request
2026-01-22 00:43:21,172.17.0.1,Honeypot,,,,"2026-01-21T18:56:31+0000 [SSHChannel session (0) on SSHService b'ssh-connection' on HoneyPotSSHTransport,2,172.17.0.1] Terminal Size: 189 48"
2026-01-22 00:43:21,172.17.0.1,Honeypot,,,,"2026-01-21T18:56:31+0000 [SSHChannel session (0) on SSHService b'ssh-connection' on HoneyPotSSHTransport,2,172.17.0.1] request_env: COLORTERM=truecolor"
2026-01-22 00:43:21,172.17.0.1,Honeypot,,,,"2026-01-21T18:56:31+0000 [SSHChannel session (0) on SSHService b'ssh-connection' on HoneyPotSSHTransport,2,172.17.0.1] request_env: LANG=en_IN"
2026-01-22 00:43:21,172.17.0.1,SMB,,,nmap -445 --script smb-os-discovery 127.0.0.1,"2026-01-21T18:57:25+0000 [HoneyPotSSHTransport,2,172.17.0.1] CMD: nmap -445 --script smb-os-discovery 127.0.0.1"
2026-01-22 00:43:21,172.17.0.1,Honeypot,,,exit,"2026-01-21T18:57:37+0000 [HoneyPotSSHTransport,2,172.17.0.1] CMD: exit"
2026-01-22 00:43:21,unknown,SSH,,,,2026-01-21T18:57:37+0000 [cowrie.ssh.connection.CowrieSSHConnection#debug] sending request b'exit-status'
2026-01-22 00:43:21,unknown,SSH,,,,2026-01-21T18:57:37+0000 [cowrie.ssh.connection.CowrieSSHConnection#info] sending close 0
2026-01-22 00:43:21,unknown,Honeypot,,,,2026-01-21T18:57:37+0000 [cowrie.ssh.transport.HoneyPotSSHTransport#info] connection lost
